0.428571 	 woman 	 0.79
1.285714 	 walk 	 2.21
1.571429 	 tells 	 3.31
1.857143 	 last 	 4.1
1.857143 	 next 	 4.49
2.571429 	 here 	 6.37
2.714286 	 very 	 5.62
3.142857 	 apples 	 4.02
3.285714 	 picture 	 4.46
3.285714 	 start 	 6.24
3.285714 	 super 	 8.26
3.285714 	 than 	 5.19
3.428571 	 table 	 7.02
3.857143 	 books 	 7.45
4.142857 	 roll 	 10.11
4.285714 	 women 	 10.9
4.428571 	 runs 	 7.02
4.571429 	 call 	 7.25
4.571429 	 plants 	 9.71
4.714286 	 dead 	 8.1
4.714286 	 drinks 	 6.6
4.714286 	 fruit 	 8.18
4.857143 	 cloth 	 10.81
5.0 	 feed 	 7.51
5.0 	 himself 	 7.98
5.142857 	 cars 	 8.49
5.285714 	 plays 	 10.24
5.285714 	 potatoes 	 13.98
5.285714 	 someone 	 10.13
5.571429 	 fixed 	 8.87
5.571429 	 liked 	 10.26
5.857143 	 grass 	 11.14
5.857143 	 happy 	 12.17
5.857143 	 pretty 	 10.04
6.0 	 likes 	 6.11
6.0 	 look 	 9.33
6.142857 	 boats 	 8.91
6.142857 	 john 	 10.75
6.285714 	 drink 	 11.76
6.428571 	 lines 	 8.26
6.428571 	 their 	 8.16
6.571429 	 mine 	 7.66
6.571429 	 window 	 13.24
6.714286 	 days 	 8.54
6.714286 	 fishing 	 11.27
6.714286 	 step 	 9.03
6.714286 	 tell 	 8.54
6.857143 	 leaf 	 9.7
6.857143 	 size 	 7.97
6.857143 	 things 	 11.73
7.0 	 farms 	 13.23
7.0 	 girls 	 12.1
7.0 	 letters 	 9.56
7.0 	 rooms 	 11.0
7.142857 	 floor 	 13.5
7.142857 	 holds 	 9.03
7.142857 	 small 	 8.65
7.285714 	 face 	 7.02
7.285714 	 looked 	 10.4
7.285714 	 read 	 18.84
7.285714 	 stand 	 14.68
7.428571 	 stop 	 10.0
7.571429 	 hope 	 10.06
7.571429 	 numbers 	 14.23
7.571429 	 says 	 11.22
7.571429 	 teach 	 9.5
7.714286 	 have 	 9.21
7.857143 	 follow 	 10.79
7.857143 	 foot 	 13.79
7.857143 	 then 	 11.29
7.857143 	 watching 	 9.96
7.857143 	 young 	 9.55
8.0 	 beautiful 	 14.04
8.142857 	 baby 	 10.84
8.142857 	 dust 	 11.81
8.142857 	 ride 	 11.63
8.285714 	 breakfast 	 11.95
8.285714 	 child 	 9.18
8.285714 	 cool 	 11.98
8.285714 	 number 	 15.09
8.285714 	 using 	 14.41
8.428571 	 biggest 	 15.85
8.428571 	 drives 	 10.08
8.428571 	 take 	 12.25
8.428571 	 uses 	 12.05
8.571429 	 train 	 9.05
8.714286 	 bigger 	 12.12
8.857143 	 best 	 15.14
8.857143 	 mean 	 18.33
9.0 	 brick 	 11.5
9.0 	 helping 	 9.17
9.0 	 most 	 11.02
9.142857 	 calls 	 9.49
9.142857 	 sleeping 	 9.91
9.285714 	 doing 	 13.09
9.285714 	 felt 	 12.01
9.285714 	 names 	 14.57
9.285714 	 rock 	 9.48
9.285714 	 rose 	 10.93
9.285714 	 still 	 11.57
9.285714 	 yourself 	 13.9
