Row,subj01,subj02,subj03,subj04,subj05,subj06,subj07,subj08,subj09,subj10,subj11,subj12,subj13,subj14,subj15,subj16,subj17,subj18,subj19,subj20,subj21,subj22,subj23,subj24,subj25
bathrobe,1.08395187384316,-0.996889340484147,-0.0295508458473027,-0.739505359823132,-0.943430929906712,-0.163532738006022,-0.375937860305643,-0.520455401532072,0.585596059888237,0.656728546382189,0.761864417513503,-0.875936523329039,0.763874405328632,0.62925862053131,-0.805737377205184,-1.17370817137137,0.186725954159559,-1.08215957483627,-1.05760653276901,1.04264571007388,-0.256717822165989,-0.464185827171867,-0.627431873423929,-0.580456004398167,-0.681240558839275
belt,0.880009846779536,1.07996345219116,-0.408407843889644,0.826666212546301,1.73387306036909,-1.1632962017983,0.0239960336365302,0.836181901039679,1.283373216492,-0.747680768691739,-0.486070746308779,-0.563548319574033,-0.922914502337116,0.62925862053131,-1.08746373287133,0.66843469849401,0.453477317244645,-1.13872829280994,1.09897774129181,-0.944459342757508,0.730658416933968,-1.01843756110842,1.36371299992422,-1.54978332019078,1.40930943759876
bikini,-0.54758434266583,-0.996889340484147,-1.27977893938703,-0.739505359823132,-0.433468265092273,-0.734826145887322,0.973839031749191,-0.808226950562443,0.93448463819012,-0.914872353819588,-1.32842698188882,-1.00089180483104,1.04500588993959,-0.789301275464128,-0.735305788288647,-0.735102726165329,-0.413464612781882,-0.79931598496793,1.09897774129181,1.12057139842021,-0.914968648232627,1.99530624217161,0.744245705993687,-1.26468705084001,-0.541870559076739
blouse,-1.10842491709079,-0.430474942481791,-0.900921941344688,1.74594083111097,-1.07092159611032,-0.877649497857647,-1.37577259516108,1.65838632684074,-0.729445504480398,-0.714242451666169,-0.985244811837691,-0.501070678823031,-1.04339942431324,-0.862047936797228,-0.559226815997305,-0.998265993288954,-0.613528135095696,-1.05387521584944,-1.0356005707888,-0.983422186930673,-0.885048156138689,0.852162040927457,-0.848670192684834,-1.32170630471017,1.40930943759876
boots,-0.700540862963547,1.59917665035999,0.917591649258551,0.486194131596424,-0.263480710154127,0.943348239763996,1.27378945220582,1.49394544168053,1.68593696068648,-0.179229379257054,1.47942713671131,-0.46983185844753,1.16549081191571,1.5022185565285,0.497247017750752,0.580713609452801,-1.88059710974985,1.12402042613678,0.0206856042613997,1.31538561928603,1.23930678253092,0.2979103069909,-1.1584038396501,0.38887131139445,1.68804943712383
bra,-0.394627822368112,-0.52487734214885,1.14490584808396,1.0990438773062,0.373972620863922,0.907642401771415,0.923847295006419,-0.356014516371859,1.3102107994383,-0.446735915461612,-0.735657779073235,0.46733275281749,0.362257998741549,1.46584522586195,-0.735305788288647,-1.08598708233016,0.986980043414815,-0.771031625981096,0.0206856042613997,1.08160855424705,1.1495453062491,-1.12235976122153,-0.804422528832653,0.559929073004912,0.0156094399734041
bracelet,-0.190685795304488,-1.09129174015121,-0.446293543693878,-0.433080486968243,-0.985927818641249,1.19328910571206,0.873855558263648,0.0961979178187242,1.55174904595499,-0.814557402742879,-1.11003832821992,-0.313637756570027,-0.60162137706745,1.9386985245271,-0.700089993830379,-0.384218370000494,-0.146713249696797,-0.9407377799021,-1.0356005707888,-0.554830901025863,1.7778756402218,-1.1916412279636,-0.937165520389197,0.160794295913834,0.294349439498476
coat,-1.72025099828167,1.41037185102587,1.06913444847549,0.24786367493151,0.926432174412898,-0.98476701183539,-0.875855227733359,-0.602675844112178,-0.917308585104489,-0.6808041346406,1.38583199942464,0.810959776947998,1.64743049982021,0.738378612530959,-0.735305788288647,-0.822823815206537,-0.680215975866967,1.20887350309729,1.12098370327203,-0.0483139267747241,-0.855127664044751,0.921443507669527,-0.848670192684834,0.0467557881735262,1.66017543717133
collar,1.69577795503403,0.277543055021155,-1.27977893938703,-0.637363735538169,-1.02842470737579,0.372054831882697,0.173971243864845,0.301749024268989,0.773459140512328,0.0214005228963646,-0.954046432742134,-0.875936523329039,-0.240166611139075,-0.971167928796877,0.00422589533499214,1.37020341082368,-0.546840294324425,-0.742747266994262,1.09897774129181,-0.866533654411179,-0.795286679856875,0.020784440022621,1.05397935295895,-1.43574481245048,-0.904232558459332
cuff,-1.21039593062261,-0.477676142315321,0.841820249650083,1.81403524730094,0.331475732129385,-1.1632962017983,-1.3257808584183,-0.684896286692284,-0.729445504480398,-1.04862562192187,1.01145145027796,-0.90717534370454,1.04500588993959,-0.680181283464479,-1.22832691070441,-0.910544904247746,1.2537314064999,-1.13872829280994,-1.0356005707888,1.31538561928603,-0.855127664044751,0.817521307556422,0.213273739767513,1.30117937331691,-0.959980558364347
